team,number,penalty,base,time,speed,checkpoint,total,1,2,3,4
data,name,,,,,,,Nashville to Paducah,Paducah Loop,Paducah to Edwardsville,Edwardsville Loop
data,type,,,,,,,base,loop,base,loop
data,miles,,,,,,,159.7,48.8,217.1,29.2
Purdue,1,0,-,-,-,❌,0,0,0,0,0
Michigan,2,0,Yes,-,-,✅,208.5,159.7,1,0,0
Florida,5,0,Yes,-,-,✅,159.7,159.7,0,0,0
Texas A&M,12,0,Yes,-,-,✅,159.7,159.7,0,0,0
Illinois State,17,0,Yes,-,-,✅,159.7,159.7,0,0,0
Illinois,22,0,Yes,-,-,✅,208.5,159.7,1,0,0
British Columbia,26,0,-,-,-,❌,0,0,0,0,0
ETS,92,0,Yes,-,-,✅,208.5,159.7,1,0,0
Western Michigan,786,0,-,-,-,❌,0,0,0,0,0
data,modified,,21 Jul 2024 - 07:36AM Central Daylight Time,,,,,
