team,number,qualified,penalty,fastest,total,1,2,3,4,5,6
labels,graph,,,,,Day 1: 10a-2p,Day 1: 2p-6p,Day 2: 9a–1p,Day 2: 1p-5p,Day 3: 9a–1p,Day 3: 1p-5p
labels,table,,,,,Day 0.5,Day 1,Day 1.5,Day 2,Day 2.5,Day 3
Kentucky,3,✅,3,3:08,270,37,51,40,49,43,53
MIT,4,✅,1,3:15,290,51,42,53,53,38,54
Florida,5,,24,3:56,51,0,0,20,2,40,13
Berkeley,6,✅,3,4:07,262,43,49,41,41,42,49
Illinois State,17,,4,3:18,37,4,0,0,0,0,37
Illinois,22,✅,6,3:56,258,37,52,38,49,45,43
British Columbia,26,,8,4:43,52,0,0,19,14,4,23
Principia,32,✅,4,3:20,299,50,55,51,49,46,52
Georgia Tech,49,✅,3,4:20,191,43,41,38,22,12,38
Virginia,87,,4,4:53,16,0,0,0,0,10,6
ETS,101,✅,3,3:40,95,0,0,41,42,11,4
Kansas,785,,0,11:33,1,0,0,0,0,0,1
Western Michigan,786,,6,4:02,79,27,20,10,0,12,2
modified,7 July 2022 – 6:35pm US Central,,,,,,,,,,
